subject_slug,problem_id,statement
algorithm-design-manual,1-1,"[3] Show that a + b can be less than min( a, b )."
algorithm-design-manual,1-2,"[3] Show that a × b can be less than min( a, b )."
algorithm-design-manual,1-3,[5] Design/draw a road network with two points a and b such that the fastest route between a and b is not the shortest route.
algorithm-design-manual,1-4,[5] Design/draw a road network with two points a and b such that the shortest route between a and b is not the route with the fewest turns.
algorithm-design-manual,1-5(a),"[4] The knapsack problem is as follows: given a set of integers S = { s 1, s 2,..., s n }, and a target number T, find a subset of S that adds up exactly to T. For ex- ample, there exists a subset within S = { 1, 2, 5, 9, 10 } that adds up to T = 22 but not T = 23. Find counterexamples to each of the following algorithms for the knapsack prob- lem. That is, give an S and T where the algorithm does not find a solution that leaves the knapsack completely full, even though a full-knapsack solution exists. (a) Put the elements of S in the knapsack in left to right order if they fit, that is, the first-fit algorithm."
algorithm-design-manual,1-5(b),"[4] The knapsack problem is as follows: given a set of integers S = { s 1, s 2,..., s n }, and a target number T, find a subset of S that adds up exactly to T. For ex- ample, there exists a subset within S = { 1, 2, 5, 9, 10 } that adds up to T = 22 but not T = 23. Find counterexamples to each of the following algorithms for the knapsack prob- lem. That is, give an S and T where the algorithm does not find a solution that leaves the knapsack completely full, even though a full-knapsack solution exists. (b) Put the elements of S in the knapsack from smallest to largest, that is, the best-fit algorithm."
algorithm-design-manual,1-5(c),"[4] The knapsack problem is as follows: given a set of integers S = { s 1, s 2,..., s n }, and a target number T, find a subset of S that adds up exactly to T. For ex- ample, there exists a subset within S = { 1, 2, 5, 9, 10 } that adds up to T = 22 but not T = 23. Find counterexamples to each of the following algorithms for the knapsack prob- lem. That is, give an S and T where the algorithm does not find a solution that leaves the knapsack completely full, even though a full-knapsack solution exists. (c) Put the elements of S in the knapsack from largest to smallest."
algorithm-design-manual,1-6,"[5] The set cover problem is as follows: given a set S of subsets S 1,..., S m of the universal set U = { 1,..., n }, find the smallest subset of subsets T ⊆ S such that ∪ t i ∈ T t i = U. For example, consider the subsets S 1 = { 1, 3, 5 }, S 2 = { 2, 4 }, S 3 = { 1, 4 }, and S 4 = { 2, 5 }. The set cover of { 1,..., 5 } would then be S 1 and S 2. Find a counterexample for the following algorithm: Select the largest subset for the cover, and then delete all its elements from the universal set. Repeat by adding the subset containing the largest number of uncovered elements until all are covered."
algorithm-design-manual,1-7,"[5] The maximum clique problem in a graph G = ( V, E ) asks for the largest subset C of vertices V such that there is an edge in E between every pair of vertices in C. Find a counterexample for the following algorithm: Sort the vertices of G from highest to lowest degree. Considering the vertices in order 28 CHAPTER 1. INTRODUCTION TO ALGORITHM DESIGN of degree, for each vertex add it to the clique if it is a neighbor of all vertices currently in the clique. Repeat until all vertices have been considered. Proofs of Correctness"
algorithm-design-manual,1-8,"[3] Prove the correctness of the following recursive algorithm to multiply two natural numbers, for all integer constants c ≥ 2. Multiply( y, z ) if z = 0 then return(0) else return(Multiply( cy, z/c ) + y · ( z mod c ))"
algorithm-design-manual,1-9,"[3] Prove the correctness of the following algorithm for evaluating a polynomial a n n − 1 n x + a n − 1 x + · · · + a 1 x + a 0. Horner( a, x ) p = a n for i from n − 1 to 0 p = p · x + a i return p"
algorithm-design-manual,1-10,[3] Prove the correctness of the following sorting algorithm. Bubblesort ( A ) for i from n to 1 for j from 1 to i − 1 if ( A [ j ] > A [ j + 1]) swap the values of A [ j ] and A [ j + 1]
algorithm-design-manual,1-11,"[5] The greatest common divisor of positive integers x and y is the largest integer d such that d divides x and d divides y. Euclid’s algorithm to compute gcd( x, y ) where x > y reduces the task to a smaller problem: gcd( x, y ) = gcd( y, x mod y ) Prove that Euclid’s algorithm is correct. Induction"
algorithm-design-manual,1-12,"n [3] Prove that i = n ( n + 1) / 2 for n 0, by induction. i =1 ≥ n 2"
algorithm-design-manual,1-13,"[3] Prove that i = n ( n + 1)(2 n + 1) / 6 for n i =1 ≥ 0, by induction. n 3 2 2"
algorithm-design-manual,1-14,"[3] Prove that i = n ( n + 1) / 4 for n ≥ 0, by induction. i =1"
algorithm-design-manual,1-15,[3] Prove that n i ( i + 1)( i + 2) = n ( n + 1)( n + 2)( n + 3) / 4 i =1
algorithm-design-manual,1-16,"[5] Prove by induction on n ≥ 1 that for every a = 1, n n +1 a i − 1 a = a − 1 i =0 1.10. EXERCISES 29"
algorithm-design-manual,1-17,"[3] Prove by induction that for n ≥ 1, n 1 n = i =1 i ( i + 1) n + 1"
algorithm-design-manual,1-18,3 [3] Prove by induction that n + 2 n is divisible by 3 for all n ≥ 0.
algorithm-design-manual,1-19,[3] Prove by induction that a tree with n vertices has exactly n − 1 edges.
algorithm-design-manual,1-20,"[3] Prove by induction that the sum of the cubes of the first n positive integers is equal to the square of the sum of these integers, that is, n n 3 2 i = ( i ) i =1 i =1 Estimation"
algorithm-design-manual,1-21,[3] Do all the books you own total at least one million pages? How many total pages are stored in your school library?
algorithm-design-manual,1-22,[3] How many words are there in this textbook?
algorithm-design-manual,1-23,[3] How many hours are one million seconds? How many days? Answer these questions by doing all arithmetic in your head.
algorithm-design-manual,1-24,[3] Estimate how many cities and towns there are in the United States.
algorithm-design-manual,1-25,[3] Estimate how many cubic miles of water flow out of the mouth of the Mississippi River each day. Do not look up any supplemental facts. Describe all assumptions you made in arriving at your answer.
algorithm-design-manual,1-26,[3] How many Starbucks or McDonald’s locations are there in your country?
algorithm-design-manual,1-27,[3] How long would it take to empty a bathtub with a drinking straw?
algorithm-design-manual,1-28,[3] Is disk drive access time normally measured in milliseconds (thousandths of a second) or microseconds (millionths of a second)? Does your RAM memory access a word in more or less than a microsecond? How many instructions can your CPU execute in one year if the machine is left running all the time?
algorithm-design-manual,1-29,"[4] A sorting algorithm takes 1 second to sort 1,000 items on your machine. How long will it take to sort 10,000 items... (a) if you believe that the algorithm takes time proportional to 2 n, and (b) if you believe that the algorithm takes time roughly proportional to n log n ? Implementation Projects"
algorithm-design-manual,1-30,[5] Implement the two TSP heuristics of Section 1.1 (page 5). Which of them gives better solutions in practice? Can you devise a heuristic that works better than both of them?
algorithm-design-manual,1-31,[5] Describe how to test whether a given set of tickets establishes sufficient coverage in the Lotto problem of Section 1.8 (page 22). Write a program to find good ticket sets. 30 CHAPTER 1. INTRODUCTION TO ALGORITHM DESIGN Interview Problems
algorithm-design-manual,1-32,[5] Write a function to perform integer division without using either the / or * operators. Find a fast way to do it.
algorithm-design-manual,1-33,"[5] There are twenty-five horses. At most, five horses can race together at a time. You must determine the fastest, second fastest, and third fastest horses. Find the minimum number of races in which this can be done."
algorithm-design-manual,1-34,[3] How many piano tuners are there in the entire world?
algorithm-design-manual,1-35,[3] How many gas stations are there in the United States?
algorithm-design-manual,1-36,[3] How much does the ice in a hockey rink weigh?
algorithm-design-manual,1-37,[3] How many miles of road are there in the United States?
algorithm-design-manual,1-38,"[3] On average, how many times would you have to flip open the Manhattan phone book at random in order to find a specific name?"
operating-systems-principles-practice,1,What is an example of an operating system as: a. Referee? b. Illusionist? c. Glue?
operating-systems-principles-practice,2,"What is the difference, if any, between the following terms: a. Reliability vs. availability? b. Security vs. privacy? c. Security enforcement vs. security policy? d. Throughput vs. response time? e. Efficiency vs. overhead? f. Application programming interface (API) vs. abstract virtual machine (AVM)? g. Abstract virtual machine (AVM) vs. hardware abstraction layer (HAL)? h. Proprietary vs. open operating system? i. Batch vs. interactive operating system? j. Host vs. guest operating system?"
operating-systems-principles-practice,3,"Define the term, direct memory access (DMA). For the following questions, take a moment to speculate. We provide answers to these questions throughout the book, but, given what you know now, how would you answer them? Before there were operating systems, someone needed to develop solutions without being able to look them up! How would you have designed the first operating system?"
